50164 ,54469
16058.9065161000,45610.2143494000,0.1190639211
16074.5876566000,45453.6264897000,0.1187202370
16090.2137441000,45297.0346303000,0.1183765678
16105.7867788000,45140.4377695000,0.1180329096
16121.3057620000,44983.8368970000,0.1176892388
16136.7696943000,44827.2320078000,0.1173455443
16152.1805734000,44670.6221206000,0.1170018681
16167.5374011000,44514.0092200000,0.1166581755
16182.8401743000,44357.3903334000,0.1163145285
16198.0878965000,44200.7684302000,0.1159708577
16213.2825672000,44044.1425152000,0.1156271740
16228.4231849000,43887.5116005000,0.1152835047
16243.5097514000,43730.8766708000,0.1149398150
16258.5422650000,43574.2377415000,0.1145961398
16273.5197258000,43417.5948108000,0.1142524753
16288.4441335000,43260.9468821000,0.1139088287
16303.3144916000,43104.2959246000,0.1135651306
16318.1307952000,42947.6399812000,0.1132214777
16332.8930490000,42790.9810106000,0.1128777768
16347.6012483000,42634.3170541000,0.1125341211
16362.2553964000,42477.6500826000,0.1121904449
16376.8554916000,42320.9781114000,0.1118467827
16391.4015369000,42164.3031130000,0.1115030722
16405.8925281000,42007.6231256000,0.1111593999
16420.3304660000,41850.9391416000,0.1108157484
16434.7143528000,41694.2521427000,0.1104720762
16449.0441883000,41537.5611287000,0.1101283832
16463.3199692000,41380.8651304000,0.1097847386
16477.5417003000,41224.1661033000,0.1094410420
16491.7093771000,41067.4630903000,0.1090973902
16505.8230025000,40910.7560638000,0.1087537210
16519.8825764000,40754.0460239000,0.1084100342
16533.8880977000,40597.3309828000,0.1080663576
16547.8395660000,40440.6129420000,0.1077226945
16561.7369829000,40283.8908877000,0.1073790137
16575.5803486000,40127.1658185000,0.1070353119
16589.3696598000,39970.4357634000,0.1066916546
16603.1049195000,39813.7026963000,0.1063479829
16616.7861267000,39656.9656265000,0.1060043178
16630.4132822000,39500.2255448000,0.1056606381
16643.9863850000,39343.4804619000,0.1053169684
16657.5054364000,39186.7333655000,0.1049732807
16670.9704335000,39029.9812832000,0.1046296372
16684.3803807000,38873.2261722000,0.1042859413
16697.7372751000,38716.4680615000,0.1039422585
16711.0401165000,38559.7059511000,0.1035985886
16724.2889051000,38402.9398410000,0.1032549318
16737.4836424000,38246.1707160000,0.1029112534
16750.6243267000,38089.3975927000,0.1025675912
16763.7109597000,37932.6214545000,0.1022239074
16776.7435398000,37775.8413166000,0.1018802364
16789.7220672000,37619.0581775000,0.1015365750
16802.6455445000,37462.2720112000,0.1011928640
16815.5159676000,37305.4818590000,0.1008491968
16828.3323378000,37148.6887071000,0.1005055422
16841.0946566000,36991.8915417000,0.1001618690
16853.8029226000,36835.0913752000,0.0998182052
16866.4571372000,36678.2881951000,0.0994745228
16879.0562991000,36521.4810140000,0.0991308497
16891.6024093000,36364.6708208000,0.0987871610
16904.0944667000,36207.8576279000,0.0984434846
16916.5324700000,36051.0404476000,0.0980998486
16928.9154247000,35894.2212249000,0.0977561283
16941.2453238000,35737.3980315000,0.0974124856
16953.5211726000,35580.5718107000,0.0970687928
16965.7419676000,35423.7416013000,0.0967251372
16977.9097109000,35266.9093798000,0.0963814657
16990.0234014000,35110.0731585000,0.0960378061
17002.0820419000,34953.2349086000,0.0956940933
17014.0876282000,34796.3926728000,0.0953504235
17026.0391617000,34639.5474372000,0.0950067658
17037.9356438000,34482.6991868000,0.0946630857
17049.7790742000,34325.8479242000,0.0943193893
17061.5674507000,34168.9936744000,0.0939757330
17073.3027756000,34012.1364110000,0.0936320572
17084.9830479000,33855.2751466000,0.0932883902
17096.6102672000,33698.4118838000,0.0929447378
17108.1824351000,33541.5456062000,0.0926010629
17119.7015515000,33384.6763150000,0.0922573684
17131.1656139000,33227.8040366000,0.0919137138
17142.5766259000,33070.9297322000,0.0915700112
17153.9325840000,32914.0514405000,0.0912263484
17165.2344892000,32757.1701492000,0.0908826970
17176.4833442000,32600.2868304000,0.0905389946
17187.6771452000,32443.4005245000,0.0901953319
17198.8168947000,32286.5112051000,0.0898516493
17209.9035913000,32129.6188871000,0.0895079808
17220.9352353000,31972.7235670000,0.0891643178
17231.9128278000,31815.8262333000,0.0888206348
17242.8363675000,31658.9258998000,0.0884769630
17253.7058543000,31502.0225667000,0.0881333022
17264.5222908000,31345.1172073000,0.0877895928
17275.2836734000,31188.2088596000,0.0874459201
17285.9910032000,31031.2975122000,0.0871022584
17296.6442803000,30874.3831650000,0.0867586075
17307.2435058000,30717.4668043000,0.0864149364
17317.7886786000,30560.5474426000,0.0860712733
17328.2797997000,30403.6260685000,0.0857275925
17338.7168682000,30246.7016935000,0.0853839197
17349.0998851000,30089.7753050000,0.0850402265
17359.4288493000,29932.8459155000,0.0846965412
17369.7037606000,29775.9145274000,0.0843528691
17379.9246192000,29618.9801384000,0.0840092050
17390.0914251000,29462.0427497000,0.0836655514
17400.2041794000,29305.1033474000,0.0833218771
17410.2618823000,29148.1619292000,0.0829781768
17420.2665311000,28991.2175262000,0.0826345207
17430.2171283000,28834.2711108000,0.0822908463
17440.1136740000,28677.3226795000,0.0819471458
17449.9551658000,28520.3712623000,0.0816034868
17459.7436059000,28363.4178326000,0.0812598094
17469.4779934000,28206.4614021000,0.0809161396
17479.1573293000,28049.5039568000,0.0805724462
17488.7836112000,27892.5425267000,0.0802287966
17498.3548417000,27735.5800809000,0.0798851208
17507.8730193000,27578.6146374000,0.0795414601
17517.3361454000,27421.6481782000,0.0791977731
17526.7462187000,27264.6787203000,0.0788540984
17536.1012393000,27107.7062615000,0.0785104312
17545.4032082000,26950.7327891000,0.0781667426
17554.6501234000,26793.7563309000,0.0778230950
17563.8439880000,26636.7788451000,0.0774793947
