W192-25220901300192_IV_1.dat
Hamamatsu 30905 W192 25220901300192
whatever
Wed, Dec 18, 2019, 3:29:45 PM
IV
Simon Fraser University	Keithley 2410	
Temperature: 18.1	Humidity: 9.1
2 51
Voltage[V] Current[nA]
0000000.00	0000002.41
-000010.00	-000028.45
-000020.00	-000032.83
-000030.00	-000036.62
-000040.00	-000040.08
-000050.00	-000043.53
-000060.00	-000046.46
-000070.00	-000049.51
-000080.00	-000051.53
-000090.00	-000053.09
-000100.00	-000054.52
-000110.00	-000055.50
-000120.00	-000056.18
-000130.00	-000056.99
-000140.00	-000057.71
-000150.00	-000058.21
-000160.00	-000058.93
-000170.00	-000060.10
-000180.00	-000061.60
-000190.00	-000063.36
-000200.00	-000065.88
-000210.00	-000068.03
-000220.00	-000070.05
-000230.00	-000071.45
-000240.00	-000072.69
-000250.00	-000073.55
-000260.00	-000074.58
-000270.00	-000074.90
-000280.00	-000075.54
-000290.00	-000076.40
-000300.00	-000076.87
-000310.00	-000077.49
-000320.00	-000077.94
-000330.00	-000078.47
-000340.00	-000079.36
-000350.00	-000079.62
-000360.00	-000080.28
-000370.00	-000080.40
-000380.00	-000080.89
-000390.00	-000081.22
-000400.00	-000081.59
-000410.00	-000082.04
-000420.00	-000082.55
-000430.00	-000083.11
-000440.00	-000083.59
-000450.00	-000084.35
-000460.00	-000084.57
-000470.00	-000085.08
-000480.00	-000085.29
-000490.00	-000085.52
-000500.00	-000086.02
