W044-VPX22728_IV_1.dat
Hamamatsu ATLAS12EC W044 VPX22728
whatever
Fri, Oct 18, 2019, 2:08:03 PM
IV
Simon Fraser University	Keithley 2410	
Temperature: 17.1	Humidity: 14.6
2 51
Voltage[V] Current[nA]
0000000.00	0000047.34
-000010.00	-000044.41
-000020.00	-000064.82
-000030.00	-000079.22
-000040.00	-000091.21
-000050.00	-000101.09
-000060.00	-000110.41
-000070.00	-000119.29
-000080.00	-000127.75
-000090.00	-000135.90
-000100.00	-000144.17
-000110.00	-000152.56
-000120.00	-000160.64
-000130.00	-000168.36
-000140.00	-000176.32
-000150.00	-000184.42
-000160.00	-000192.64
-000170.00	-000201.10
-000180.00	-000209.82
-000190.00	-000219.61
-000200.00	-000229.30
-000210.00	-000239.14
-000220.00	-000251.08
-000230.00	-000260.93
-000240.00	-000273.05
-000250.00	-000284.44
-000260.00	-000296.98
-000270.00	-000312.00
-000280.00	-000414.48
-000290.00	-000710.50
-000300.00	-001142.12
-000310.00	-001653.24
-000320.00	-002214.05
-000330.00	-002808.22
-000340.00	-003431.90
-000350.00	-004089.04
-000360.00	-004752.43
-000370.00	-005418.60
-000380.00	-006079.67
-000390.00	-006733.30
-000400.00	-007382.39
-000410.00	-008038.37
-000420.00	-008693.78
-000430.00	-009351.80
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
