W129-VPX27227_CV_1.dat
Hamamatsu ATLAS12EC W129 VPX27227
whatever
Fri, Oct 18, 2019, 2:47:57 PM
CV
Simon Fraser University	Keithley 2410, WayneKerr 6440B	
Temperature: 16.9	Humidity: 15.6
3 51
Voltage[V] Capacitance[pF] Resistance[kOhm]
0000000.00	0125010.00	0000000.00
-000010.00	0053850.00	0000000.00
-000020.00	0040915.00	0000000.01
-000030.00	0034375.00	0000000.01
-000040.00	0030170.00	0000000.01
-000050.00	0027865.00	0000000.01
-000060.00	0026465.00	0000000.01
-000070.00	0025695.00	0000000.01
-000080.00	0024445.00	0000000.01
-000090.00	0023680.00	0000000.01
-000100.00	0023115.00	0000000.01
-000110.00	0022500.00	0000000.01
-000120.00	0021885.00	0000000.01
-000130.00	0021215.00	0000000.01
-000140.00	0020520.00	0000000.01
-000150.00	0020105.00	0000000.01
-000160.00	0019480.00	0000000.01
-000170.00	0018910.00	0000000.01
-000180.00	0018555.00	0000000.01
-000190.00	0017830.00	0000000.01
-000200.00	0017130.00	0000000.01
-000210.00	0016760.00	0000000.01
-000220.00	0000185.00	0000000.00
-000230.00	0002365.00	0000000.00
-000240.00	0000365.00	0000000.00
-000250.00	0014875.00	0000000.01
-000260.00	0014565.00	0000000.01
-000270.00	0014075.00	0000000.01
-000280.00	0011905.00	0000000.01
-000290.00	0013355.00	0000000.01
-000300.00	0010300.00	0000000.01
-000310.00	0012645.00	0000000.01
-000320.00	0012395.00	0000000.01
-000330.00	0012030.00	0000000.01
-000340.00	0011805.00	0000000.01
-000350.00	0011685.00	0000000.01
-000360.00	0011530.00	0000000.01
-000370.00	0011415.00	0000000.01
-000380.00	0005670.00	0000000.01
-000390.00	0011345.00	0000000.01
-000400.00	0011210.00	0000000.01
-000410.00	0011230.00	0000000.01
-000420.00	0011100.00	0000000.01
-000430.00	0011120.00	0000000.01
0000000.00	0000000.00	0000000.00
0000000.00	0000000.00	0000000.00
0000000.00	0000000.00	0000000.00
0000000.00	0000000.00	0000000.00
0000000.00	0000000.00	0000000.00
0000000.00	0000000.00	0000000.00
0000000.00	0000000.00	0000000.00
