W129-VPX27227_CV_2.dat
Hamamatsu ATLAS12EC W129 VPX27227
whatever
Wed, Oct 30, 2019, 1:48:14 PM
CV
Simon Fraser University	Keithley 2410, WayneKerr 6440B	
Temperature: 5.4	Humidity: 1.0
3 51
Voltage[V] Capacitance[pF] Resistance[kOhm]
0000000.00	0000100.00	0000000.00
-000010.00	0053625.00	0000000.00
-000020.00	0042040.00	0000000.01
-000030.00	0000490.00	0000000.00
-000040.00	0030065.00	0000000.01
-000050.00	0027935.00	0000000.01
-000060.00	0026680.00	0000000.01
-000070.00	0001125.00	0000000.01
-000080.00	0024535.00	0000000.01
-000090.00	0023715.00	0000000.01
-000100.00	0000220.00	0000000.01
-000110.00	0017140.00	0000000.00
-000120.00	0021960.00	0000000.01
-000130.00	0021280.00	0000000.01
-000140.00	0020430.00	0000000.01
0000000.00	0000000.00	0000000.00
0000000.00	0000000.00	0000000.00
0000000.00	0000000.00	0000000.00
0000000.00	0000000.00	0000000.00
0000000.00	0000000.00	0000000.00
0000000.00	0000000.00	0000000.00
0000000.00	0000000.00	0000000.00
0000000.00	0000000.00	0000000.00
0000000.00	0000000.00	0000000.00
0000000.00	0000000.00	0000000.00
0000000.00	0000000.00	0000000.00
0000000.00	0000000.00	0000000.00
0000000.00	0000000.00	0000000.00
0000000.00	0000000.00	0000000.00
0000000.00	0000000.00	0000000.00
0000000.00	0000000.00	0000000.00
0000000.00	0000000.00	0000000.00
0000000.00	0000000.00	0000000.00
0000000.00	0000000.00	0000000.00
0000000.00	0000000.00	0000000.00
0000000.00	0000000.00	0000000.00
0000000.00	0000000.00	0000000.00
0000000.00	0000000.00	0000000.00
0000000.00	0000000.00	0000000.00
0000000.00	0000000.00	0000000.00
0000000.00	0000000.00	0000000.00
0000000.00	0000000.00	0000000.00
0000000.00	0000000.00	0000000.00
0000000.00	0000000.00	0000000.00
0000000.00	0000000.00	0000000.00
0000000.00	0000000.00	0000000.00
0000000.00	0000000.00	0000000.00
0000000.00	0000000.00	0000000.00
0000000.00	0000000.00	0000000.00
0000000.00	0000000.00	0000000.00
0000000.00	0000000.00	0000000.00
