W129-VPX27227_IV_1.dat
Hamamatsu ATLASEC12 W129 VPX27227
whatever
Thu, Oct 10, 2019, 1:27:00 PM
IV
Simon Fraser University	Keithley 2410	
Temperature: 12.8	Humidity: 10.6
2 51
Voltage[V] Current[nA]
0000000.00	0000007.11
-000010.00	-000028.20
-000020.00	-000040.09
-000030.00	-000048.84
-000040.00	-000054.66
-000050.00	-000058.88
-000060.00	-000061.87
-000070.00	-000064.62
-000080.00	-000066.51
-000090.00	-000069.04
-000100.00	-000071.71
-000110.00	-000074.00
-000120.00	-000076.72
-000130.00	-000079.45
-000140.00	-000082.33
-000150.00	-000085.08
-000160.00	-000088.35
-000170.00	-000091.44
-000180.00	-000094.68
-000190.00	-000097.99
-000200.00	-000101.33
-000210.00	-000110.07
-000220.00	-000281.67
-000230.00	-000854.31
-000240.00	-001610.69
-000250.00	-002427.66
-000260.00	-003275.02
-000270.00	-004138.07
-000280.00	-005016.13
-000290.00	-005900.82
-000300.00	-006789.94
-000310.00	-007691.54
-000320.00	-008594.37
-000330.00	-009500.39
-000340.00	-010409.32
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
