W129-VPX27227_IV_4.dat
Hamamatsu ATLAS12EC W129 VPX27227
whatever
Mon, Nov 25, 2019, 3:23:40 PM
IV
Simon Fraser University	Keithley 2410	
Temperature: 9.6	Humidity: 5.7
2 51
Voltage[V] Current[nA]
0000000.00	0000002.70
-000010.00	-000036.51
-000020.00	-000052.96
-000030.00	-000065.43
-000040.00	-000074.91
-000050.00	-000082.79
-000060.00	-000089.98
-000070.00	-000096.60
-000080.00	-000102.72
-000090.00	-000108.19
-000100.00	-000114.33
-000110.00	-000120.30
-000120.00	-000126.62
-000130.00	-000132.39
-000140.00	-000138.82
-000150.00	-000145.54
-000160.00	-000152.15
-000170.00	-000158.20
-000180.00	-000164.64
-000190.00	-000171.02
-000200.00	-000178.19
-000210.00	-000184.83
-000220.00	-000192.97
-000230.00	-000201.01
-000240.00	-000271.99
-000250.00	-000778.42
-000260.00	-001621.43
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
