W129-VPX27227_IV_6.dat
Hamamatsu ATLAS12EC W129 VPX27227
whatever
Tue, Nov 26, 2019, 10:30:12 AM
IV
Simon Fraser University	Keithley 2410	
Temperature: 11.3	Humidity: 8.1
2 51
Voltage[V] Current[nA]
0000000.00	0000002.31
-000010.00	-000038.10
-000020.00	-000051.67
-000030.00	-000062.51
-000040.00	-000072.20
-000050.00	-000080.20
-000060.00	-000087.88
-000070.00	-000096.07
-000080.00	-000103.22
-000090.00	-000111.46
-000100.00	-000120.59
-000110.00	-000130.17
-000120.00	-000141.04
-000130.00	-000150.58
-000140.00	-000164.62
-000150.00	-000174.32
-000160.00	-000186.00
-000170.00	-000198.77
-000180.00	-000213.94
-000190.00	-000231.19
-000200.00	-000237.46
-000210.00	-000254.57
-000220.00	-000269.38
-000230.00	-000288.57
-000240.00	-000307.75
-000250.00	-000365.06
-000260.00	-000798.31
-000270.00	-001627.81
-000280.00	-002460.10
-000290.00	-003513.76
-000300.00	-004632.35
-000310.00	-005786.87
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
