W132-VPX27227_IV_3.dat
Hamamatsu ATLAS12EC W132 VPX27227
whatever
Thu, Oct 17, 2019, 4:26:16 PM
IV
Cambridge	Keithley 2410	
Temperature: 19.3	Humidity: 17.0
2 51
Voltage[V] Current[nA]
0000000.00	0000004.72
-000010.00	-000029.18
-000020.00	-000038.55
-000030.00	-000042.48
-000040.00	-000050.68
-000050.00	-000051.06
-000060.00	-000053.86
-000070.00	-000051.58
-000080.00	-000056.40
-000090.00	-000055.64
-000100.00	-000059.36
-000110.00	-000060.16
-000120.00	-000062.54
-000130.00	-000065.44
-000140.00	-000069.20
-000150.00	-000073.23
-000160.00	-000077.22
-000170.00	-000082.58
-000180.00	-000086.76
-000190.00	-000092.62
-000200.00	-000100.35
-000210.00	-000109.59
-000220.00	-000115.17
-000230.00	-000125.54
-000240.00	-000135.70
-000250.00	-000144.92
-000260.00	-000156.51
-000270.00	-000166.63
-000280.00	-000189.52
-000290.00	-000193.18
-000300.00	-000218.67
-000310.00	-000253.56
-000320.00	-000275.19
-000330.00	-000292.11
-000340.00	-000343.65
-000350.00	-000364.76
-000360.00	-000388.59
-000370.00	-000372.68
-000380.00	-000407.73
-000390.00	-000461.77
-000400.00	-000548.19
-000410.00	-000548.78
-000420.00	-000623.56
-000430.00	-000701.24
-000440.00	-000726.13
-000450.00	-000804.04
-000460.00	-000793.89
-000470.00	-000873.34
-000480.00	-000958.20
-000490.00	-001191.70
0000000.00	0000000.00
