W134-VPX27227_CV_1.dat
Hamamatsu ATLAS12EC W134 VPX27227
whatever
Thu, Oct 17, 2019, 1:24:54 PM
CV
Cambridge	Keithley 2410, WayneKerr 6440B	
Temperature: 16.9	Humidity: 6.2
3 51
Voltage[V] Capacitance[pF] Resistance[kOhm]
0000000.00	0031270.00	0000000.01
-000010.00	0026860.00	0000000.01
-000020.00	0021410.00	0000000.01
-000030.00	0016270.00	0000000.01
-000040.00	0012620.00	0000000.03
-000050.00	0010700.00	0000000.03
-000060.00	0009290.00	0000000.04
-000070.00	0008360.00	0000000.04
-000080.00	0007680.00	0000000.04
-000090.00	0007110.00	0000000.04
-000100.00	0006630.00	0000000.04
-000110.00	0006190.00	0000000.03
-000120.00	0005930.00	0000000.03
-000130.00	0005600.00	0000000.03
-000140.00	0005380.00	0000000.03
-000150.00	0005160.00	0000000.04
-000160.00	0004960.00	0000000.05
-000170.00	0004760.00	0000000.03
-000180.00	0004660.00	0000000.03
-000190.00	0004530.00	0000000.04
-000200.00	0004370.00	0000000.03
-000210.00	0004300.00	0000000.03
-000220.00	0004180.00	0000000.03
-000230.00	0004100.00	0000000.03
-000240.00	0004000.00	0000000.02
-000250.00	0003860.00	0000000.03
-000260.00	0003810.00	0000000.03
-000270.00	0003800.00	0000000.03
-000280.00	0003700.00	0000000.03
-000290.00	0003600.00	0000000.04
-000300.00	0003550.00	0000000.03
-000310.00	0003500.00	0000000.02
-000320.00	0003430.00	0000000.03
-000330.00	0003480.00	0000000.02
-000340.00	0003480.00	0000000.02
-000350.00	0003490.00	0000000.01
-000360.00	0003510.00	0000000.01
-000370.00	0003440.00	0000000.01
-000380.00	0003500.00	0000000.01
-000390.00	0003500.00	0000000.01
-000400.00	0003500.00	0000000.01
-000410.00	0003530.00	0000000.01
-000420.00	0003550.00	0000000.01
-000430.00	0003510.00	0000000.01
0000000.00	0000000.00	0000000.00
0000000.00	0000000.00	0000000.00
0000000.00	0000000.00	0000000.00
0000000.00	0000000.00	0000000.00
0000000.00	0000000.00	0000000.00
0000000.00	0000000.00	0000000.00
0000000.00	0000000.00	0000000.00
