191-VPX30905_CV_1.dat
Hamamatsu MAIN ATLAS12EC 191 VPX30905
whatever
Thu, Nov 28, 2019, 4:17:14 PM
CV
Simon Fraser University	Keithley 2410, WayneKerr 6440B	
Temperature: 18.1	Humidity: 8.3
3 51
Voltage[V] Capacitance[pF] Resistance[kOhm]
0000000.00	0107850.00	0000000.50
-000010.00	0016285.00	0000000.56
-000020.00	0010250.00	0000000.65
-000030.00	0008610.00	0000000.71
-000040.00	0007140.00	0000000.80
-000050.00	0006485.00	0000000.89
-000060.00	0005755.00	0000000.98
-000070.00	0005385.00	0000001.08
-000080.00	0004945.00	0000001.14
-000090.00	0004710.00	0000001.20
-000100.00	0004425.00	0000001.29
-000110.00	0004260.00	0000001.39
-000120.00	0004030.00	0000001.35
-000130.00	0003905.00	0000001.50
-000140.00	0003745.00	0000001.64
-000150.00	0003635.00	0000001.67
-000160.00	0003500.00	0000001.72
-000170.00	0003415.00	0000001.76
-000180.00	0003295.00	0000001.89
-000190.00	0003210.00	0000002.02
-000200.00	0003105.00	0000002.06
-000210.00	0003050.00	0000002.14
-000220.00	0003035.00	0000002.13
-000230.00	0003020.00	0000002.18
-000240.00	0003015.00	0000002.15
-000250.00	0003020.00	0000002.19
-000260.00	0003015.00	0000002.00
-000270.00	0003010.00	0000002.11
-000280.00	0003010.00	0000001.93
-000290.00	0003010.00	0000002.13
-000300.00	0003010.00	0000002.22
-000310.00	0003005.00	0000002.18
-000320.00	0003010.00	0000002.38
-000330.00	0003000.00	0000001.95
-000340.00	0002980.00	0000002.37
-000350.00	0003015.00	0000002.67
-000360.00	0003010.00	0000002.16
-000370.00	0003005.00	0000002.32
-000380.00	0003000.00	0000002.52
-000390.00	0003005.00	0000002.25
-000400.00	0003015.00	0000002.18
-000410.00	0002985.00	0000002.48
-000420.00	0002995.00	0000002.36
-000430.00	0002995.00	0000002.36
-000440.00	0003025.00	0000002.13
-000450.00	0003005.00	0000002.45
-000460.00	0002995.00	0000002.48
-000470.00	0002995.00	0000002.15
-000480.00	0003000.00	0000002.29
-000490.00	0003000.00	0000002.26
-000500.00	0003000.00	0000002.44
