191-VPX30905_IV_1.dat
Hamamatsu MAIN ATLAS12EC 191 VPX30905
whatever
Thu, Nov 28, 2019, 3:43:35 PM
IV
Simon Fraser University	Keithley 2410	
Temperature: 18.0	Humidity: 12.4
2 51
Voltage[V] Current[nA]
0000000.00	0000002.50
-000010.00	-000024.96
-000020.00	-000028.42
-000030.00	-000031.81
-000040.00	-000035.05
-000050.00	-000038.31
-000060.00	-000041.70
-000070.00	-000044.52
-000080.00	-000046.49
-000090.00	-000047.82
-000100.00	-000049.24
-000110.00	-000050.46
-000120.00	-000051.27
-000130.00	-000052.01
-000140.00	-000052.95
-000150.00	-000053.40
-000160.00	-000054.26
-000170.00	-000055.13
-000180.00	-000056.56
-000190.00	-000058.55
-000200.00	-000061.01
-000210.00	-000063.24
-000220.00	-000064.76
-000230.00	-000066.40
-000240.00	-000067.11
-000250.00	-000068.07
-000260.00	-000068.90
-000270.00	-000069.46
-000280.00	-000070.38
-000290.00	-000071.00
-000300.00	-000071.65
-000310.00	-000072.00
-000320.00	-000072.70
-000330.00	-000073.47
-000340.00	-000073.75
-000350.00	-000074.08
-000360.00	-000074.81
-000370.00	-000074.88
-000380.00	-000075.45
-000390.00	-000075.91
-000400.00	-000076.59
-000410.00	-000077.00
-000420.00	-000077.32
-000430.00	-000077.47
-000440.00	-000078.07
-000450.00	-000078.71
-000460.00	-000078.82
-000470.00	-000079.14
-000480.00	-000079.57
-000490.00	-000080.18
-000500.00	-000080.52
