W191-VPX30905_IV_2.dat
Hamamatsu MAIN ATLAS12EC W191 VPX30905
whatever
Tue, Dec 10, 2019, 3:27:02 PM
IV
Simon Fraser University	Keithley 2410	
Temperature: 16.0	Humidity: 2.4
2 51
Voltage[V] Current[nA]
0000000.00	0000002.09
-000010.00	-000027.90
-000020.00	-000031.99
-000030.00	-000035.81
-000040.00	-000039.64
-000050.00	-000042.96
-000060.00	-000046.11
-000070.00	-000048.36
-000080.00	-000050.44
-000090.00	-000051.64
-000100.00	-000052.76
-000110.00	-000053.70
-000120.00	-000054.48
-000130.00	-000055.08
-000140.00	-000055.76
-000150.00	-000056.76
-000160.00	-000057.54
-000170.00	-000058.51
-000180.00	-000059.73
-000190.00	-000062.25
-000200.00	-000064.21
-000210.00	-000066.72
-000220.00	-000068.73
-000230.00	-000069.85
-000240.00	-000070.89
-000250.00	-000072.21
-000260.00	-000072.34
-000270.00	-000073.78
-000280.00	-000074.12
-000290.00	-000074.44
-000300.00	-000075.28
-000310.00	-000075.78
-000320.00	-000076.41
-000330.00	-000077.17
-000340.00	-000077.59
-000350.00	-000077.84
-000360.00	-000078.76
-000370.00	-000079.43
-000380.00	-000083.10
-000390.00	-000092.24
-000400.00	-000118.99
-000410.00	-000220.84
-000420.00	-000509.13
-000430.00	-000922.65
-000440.00	-001493.89
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
