W192-VPX30905_CV_2.dat
Hamamatsu MAIN ATLAS12EC W192 VPX30905
whatever
Wed, Jan 8, 2020, 10:21:04 AM
CV
Simon Fraser University	Keithley 2410, WayneKerr 6440B	
Temperature: 18.3	Humidity: 1.3
3 51
Voltage[V] Capacitance[pF] Resistance[kOhm]
0000000.00	0107790.00	0000000.51
-000010.00	0019205.00	0000000.69
-000020.00	0010450.00	0000000.67
-000030.00	0009050.00	0000000.72
-000040.00	0007190.00	0000000.88
-000050.00	0006670.00	0000000.88
-000060.00	0005785.00	0000000.96
-000070.00	0005500.00	0000001.00
-000080.00	0004995.00	0000001.16
-000090.00	0004785.00	0000001.21
-000100.00	0004450.00	0000001.20
-000110.00	0004315.00	0000001.31
-000120.00	0004045.00	0000001.47
-000130.00	0003950.00	0000001.69
-000140.00	0003755.00	0000001.60
-000150.00	0003665.00	0000001.67
-000160.00	0003515.00	0000001.88
-000170.00	0003425.00	0000001.59
-000180.00	0003295.00	0000001.67
-000190.00	0003235.00	0000002.17
-000200.00	0003085.00	0000002.08
-000210.00	0003060.00	0000002.18
-000220.00	0003030.00	0000002.13
-000230.00	0003015.00	0000002.35
-000240.00	0003015.00	0000002.23
-000250.00	0002990.00	0000002.32
-000260.00	0003005.00	0000002.18
-000270.00	0002995.00	0000002.11
-000280.00	0003005.00	0000002.06
-000290.00	0003010.00	0000002.29
-000300.00	0003005.00	0000002.58
-000310.00	0003010.00	0000002.13
-000320.00	0003015.00	0000002.34
-000330.00	0003010.00	0000002.21
-000340.00	0002975.00	0000002.09
-000350.00	0002990.00	0000002.42
-000360.00	0003005.00	0000002.44
-000370.00	0003005.00	0000002.25
-000380.00	0003000.00	0000002.33
-000390.00	0003005.00	0000002.46
-000400.00	0003015.00	0000002.27
-000410.00	0002990.00	0000002.33
-000420.00	0002995.00	0000002.09
-000430.00	0003000.00	0000002.37
-000440.00	0003010.00	0000002.21
-000450.00	0002990.00	0000002.66
-000460.00	0003015.00	0000002.40
-000470.00	0002985.00	0000002.52
-000480.00	0002985.00	0000002.66
-000490.00	0002980.00	0000002.12
-000500.00	0003030.00	0000002.17
