W192-VPX30905_IV_2.dat
Hamamatsu MAIN ATLAS12EC W192 VPX30905
whatever
Wed, Jan 8, 2020, 10:09:00 AM
IV
Simon Fraser University	Keithley 2410	
Temperature: 18.4	Humidity: 4.0
2 51
Voltage[V] Current[nA]
0000000.00	0000002.57
-000010.00	-000032.79
-000020.00	-000039.30
-000030.00	-000044.76
-000040.00	-000048.81
-000050.00	-000052.25
-000060.00	-000055.19
-000070.00	-000057.19
-000080.00	-000058.60
-000090.00	-000059.51
-000100.00	-000060.48
-000110.00	-000061.05
-000120.00	-000061.93
-000130.00	-000062.66
-000140.00	-000063.10
-000150.00	-000064.07
-000160.00	-000064.73
-000170.00	-000065.81
-000180.00	-000067.45
-000190.00	-000069.49
-000200.00	-000071.80
-000210.00	-000074.92
-000220.00	-000076.52
-000230.00	-000078.12
-000240.00	-000079.24
-000250.00	-000080.43
-000260.00	-000081.12
-000270.00	-000081.97
-000280.00	-000082.53
-000290.00	-000083.44
-000300.00	-000084.01
-000310.00	-000084.62
-000320.00	-000085.38
-000330.00	-000085.65
-000340.00	-000086.32
-000350.00	-000086.96
-000360.00	-000087.21
-000370.00	-000087.93
-000380.00	-000088.59
-000390.00	-000088.99
-000400.00	-000089.48
-000410.00	-000090.39
-000420.00	-000090.47
-000430.00	-000091.18
-000440.00	-000091.41
-000450.00	-000092.08
-000460.00	-000092.80
-000470.00	-000093.34
-000480.00	-000093.51
-000490.00	-000093.83
-000500.00	-000094.36
