W213-VPX30906_CV_1.dat
Hamamatsu MAIN ATLAS12EC W213 VPX30906
whatever
Fri, Dec 6, 2019, 1:01:21 PM
CV
Simon Fraser University	Keithley 2410, WayneKerr 6440B	
Temperature: 18.6	Humidity: 3.8
3 51
Voltage[V] Capacitance[pF] Resistance[kOhm]
0000000.00	0104640.00	0000000.50
-000010.00	0016455.00	0000000.55
-000020.00	0010155.00	0000000.65
-000030.00	0008500.00	0000000.68
-000040.00	0007015.00	0000000.76
-000050.00	0006415.00	0000000.78
-000060.00	0005695.00	0000000.96
-000070.00	0005375.00	0000000.91
-000080.00	0004945.00	0000001.12
-000090.00	0004760.00	0000001.07
-000100.00	0004415.00	0000001.16
-000110.00	0004330.00	0000001.42
-000120.00	0004100.00	0000001.63
-000130.00	0003975.00	0000001.64
-000140.00	0003820.00	0000001.79
-000150.00	0003690.00	0000001.42
-000160.00	0003550.00	0000001.75
-000170.00	0003435.00	0000001.61
-000180.00	0003355.00	0000001.75
-000190.00	0003240.00	0000001.62
-000200.00	0003165.00	0000001.84
-000210.00	0003120.00	0000002.02
-000220.00	0003060.00	0000002.30
-000230.00	0002985.00	0000001.94
-000240.00	0002995.00	0000001.94
-000250.00	0003020.00	0000002.62
-000260.00	0003005.00	0000002.15
-000270.00	0003005.00	0000001.73
-000280.00	0003015.00	0000002.15
-000290.00	0003010.00	0000002.34
-000300.00	0003010.00	0000002.44
-000310.00	0003030.00	0000002.33
-000320.00	0002995.00	0000002.38
-000330.00	0003010.00	0000001.89
-000340.00	0003055.00	0000001.73
-000350.00	0002930.00	0000002.28
-000360.00	0003020.00	0000002.20
-000370.00	0002985.00	0000002.30
-000380.00	0002995.00	0000001.80
-000390.00	0002995.00	0000002.28
-000400.00	0003005.00	0000002.11
-000410.00	0003000.00	0000002.35
-000420.00	0003010.00	0000001.94
-000430.00	0003025.00	0000002.28
-000440.00	0002995.00	0000002.19
-000450.00	0003020.00	0000002.28
-000460.00	0003015.00	0000002.34
-000470.00	0003005.00	0000002.47
-000480.00	0003000.00	0000002.26
-000490.00	0002995.00	0000002.44
-000500.00	0003010.00	0000002.05
