W213-VPX30906_IV_2.dat
Hamamatsu MAIN ATLAS12EC W213 VPX30906
whatever
Wed, Jan 8, 2020, 2:27:46 PM
IV
Simon Fraser University	Keithley 2410	
Temperature: 17.7	Humidity: 1.6
2 51
Voltage[V] Current[nA]
0000000.00	0000002.00
-000010.00	-000026.53
-000020.00	-000033.83
-000030.00	-000038.67
-000040.00	-000041.88
-000050.00	-000044.34
-000060.00	-000045.98
-000070.00	-000046.77
-000080.00	-000047.47
-000090.00	-000048.19
-000100.00	-000048.64
-000110.00	-000049.05
-000120.00	-000049.64
-000130.00	-000049.82
-000140.00	-000050.27
-000150.00	-000050.66
-000160.00	-000050.89
-000170.00	-000051.43
-000180.00	-000052.19
-000190.00	-000053.24
-000200.00	-000054.74
-000210.00	-000056.01
-000220.00	-000057.86
-000230.00	-000058.80
-000240.00	-000059.58
-000250.00	-000060.26
-000260.00	-000060.87
-000270.00	-000061.56
-000280.00	-000062.11
-000290.00	-000062.57
-000300.00	-000063.25
-000310.00	-000063.38
-000320.00	-000063.88
-000330.00	-000064.41
-000340.00	-000064.81
-000350.00	-000065.41
-000360.00	-000065.58
-000370.00	-000065.93
-000380.00	-000066.47
-000390.00	-000066.87
-000400.00	-000066.97
-000410.00	-000067.55
-000420.00	-000067.92
-000430.00	-000068.25
-000440.00	-000068.61
-000450.00	-000068.42
-000460.00	-000069.08
-000470.00	-000069.68
-000480.00	-000069.80
-000490.00	-000070.09
-000500.00	-000070.48
