W216-VPX30906_IV_2.dat
Hamamatsu MAIN ATLAS12EC W216 VPX30906
whatever
Fri, Dec 6, 2019, 12:18:47 PM
IV
Simon Fraser University	Keithley 2410, WayneKerr 6440B	
Temperature: 18.7	Humidity: 3.3
3 51
Voltage[V] Capacitance[pF] Resistance[kOhm]
0000000.00	0116670.00	0000000.45
-000010.00	0020720.00	0000000.51
-000020.00	0012545.00	0000000.55
-000030.00	0010420.00	0000000.58
-000040.00	0008645.00	0000000.65
-000050.00	0007935.00	0000000.69
-000060.00	0007150.00	0000000.70
-000070.00	0006725.00	0000000.81
-000080.00	0006250.00	0000000.82
-000090.00	0005970.00	0000000.89
-000100.00	0005625.00	0000000.85
-000110.00	0005425.00	0000001.00
-000120.00	0005170.00	0000001.06
-000130.00	0004995.00	0000001.09
-000140.00	0004790.00	0000001.05
-000150.00	0004665.00	0000001.14
-000160.00	0004475.00	0000001.23
-000170.00	0004380.00	0000001.24
-000180.00	0004230.00	0000001.27
-000190.00	0004120.00	0000001.42
-000200.00	0003995.00	0000001.35
-000210.00	0003930.00	0000001.34
-000220.00	0003805.00	0000001.40
-000230.00	0003745.00	0000001.50
-000240.00	0003645.00	0000001.47
-000250.00	0003595.00	0000001.59
-000260.00	0003505.00	0000001.57
-000270.00	0003450.00	0000001.59
-000280.00	0003380.00	0000001.67
-000290.00	0003315.00	0000001.69
-000300.00	0003245.00	0000001.71
-000310.00	0003195.00	0000001.84
-000320.00	0003140.00	0000001.96
-000330.00	0003100.00	0000001.99
-000340.00	0003045.00	0000002.04
-000350.00	0003040.00	0000002.16
-000360.00	0003020.00	0000002.47
-000370.00	0003025.00	0000002.39
-000380.00	0003020.00	0000002.43
-000390.00	0003010.00	0000002.45
-000400.00	0003010.00	0000002.45
-000410.00	0003010.00	0000002.34
-000420.00	0003005.00	0000002.41
-000430.00	0003005.00	0000002.34
-000440.00	0003005.00	0000002.40
-000450.00	0003010.00	0000002.43
-000460.00	0003005.00	0000002.43
-000470.00	0003030.00	0000002.60
-000480.00	0003010.00	0000002.57
-000490.00	0003005.00	0000002.59
-000500.00	0003005.00	0000002.76
