W216-VPX30906_IV_1.dat
Hamamatsu MAIN ATLAS12EC W216 VPX30906
whatever
Fri, Dec 6, 2019, 12:10:35 PM
IV
Simon Fraser University	Keithley 2410	
Temperature: 13.2	Humidity: 4.6
2 51
Voltage[V] Current[nA]
0000000.00	0000002.34
-000010.00	-000027.63
-000020.00	-000036.35
-000030.00	-000042.05
-000040.00	-000045.45
-000050.00	-000047.35
-000060.00	-000048.80
-000070.00	-000049.18
-000080.00	-000049.86
-000090.00	-000050.34
-000100.00	-000050.80
-000110.00	-000051.17
-000120.00	-000051.67
-000130.00	-000051.92
-000140.00	-000052.89
-000150.00	-000052.88
-000160.00	-000052.82
-000170.00	-000053.40
-000180.00	-000053.49
-000190.00	-000053.67
-000200.00	-000053.77
-000210.00	-000054.12
-000220.00	-000054.50
-000230.00	-000054.42
-000240.00	-000054.86
-000250.00	-000055.20
-000260.00	-000055.70
-000270.00	-000055.78
-000280.00	-000056.43
-000290.00	-000057.00
-000300.00	-000058.26
-000310.00	-000060.43
-000320.00	-000067.12
-000330.00	-000192.91
-000340.00	-000712.93
-000350.00	-001183.30
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
