W219-VPX30906_CV_1.dat
Hamamatsu MAIN ATLAS12EC W219 VPX30906
whatever
Fri, Dec 6, 2019, 11:37:24 AM
CV
Simon Fraser University	Keithley 2410, WayneKerr 6440B	
Temperature: 16.9	Humidity: 3.4
3 51
Voltage[V] Capacitance[pF] Resistance[kOhm]
0000000.00	0115360.00	0000000.45
-000010.00	0020690.00	0000000.54
-000020.00	0012475.00	0000000.56
-000030.00	0010450.00	0000000.59
-000040.00	0008750.00	0000000.64
-000050.00	0008035.00	0000000.68
-000060.00	0007225.00	0000000.77
-000070.00	0006815.00	0000000.79
-000080.00	0006310.00	0000000.81
-000090.00	0006035.00	0000000.86
-000100.00	0005670.00	0000000.90
-000110.00	0005465.00	0000000.94
-000120.00	0005185.00	0000000.98
-000130.00	0005015.00	0000001.03
-000140.00	0004795.00	0000001.07
-000150.00	0004665.00	0000001.14
-000160.00	0004490.00	0000001.15
-000170.00	0004375.00	0000001.21
-000180.00	0004225.00	0000001.24
-000190.00	0004135.00	0000001.29
-000200.00	0004010.00	0000001.32
-000210.00	0003930.00	0000001.38
-000220.00	0003820.00	0000001.39
-000230.00	0003745.00	0000001.49
-000240.00	0003650.00	0000001.49
-000250.00	0003590.00	0000001.55
-000260.00	0003510.00	0000001.58
-000270.00	0003450.00	0000001.64
-000280.00	0003370.00	0000001.66
-000290.00	0003325.00	0000002.43
-000300.00	0003260.00	0000002.70
-000310.00	0003250.00	0000004.83
-000320.00	0003150.00	0000004.36
-000330.00	0003125.00	0000004.84
-000340.00	0003095.00	0000006.02
-000350.00	0003095.00	0000007.03
-000360.00	0003090.00	0000008.23
-000370.00	0003120.00	0000009.66
-000380.00	0003120.00	0000010.04
-000390.00	0003140.00	0000010.40
-000400.00	0003160.00	0000010.93
-000410.00	0003145.00	0000011.36
-000420.00	0003170.00	0000011.79
-000430.00	0003200.00	0000012.18
-000440.00	0003245.00	0000013.85
-000450.00	0003285.00	0000013.90
0000000.00	0000000.00	0000000.00
0000000.00	0000000.00	0000000.00
0000000.00	0000000.00	0000000.00
0000000.00	0000000.00	0000000.00
0000000.00	0000000.00	0000000.00
