W219-VPX30906_IV_2.dat
Hamamatsu MAIN ATLAS12EC W219 VPX30906
whatever
Fri, Dec 6, 2019, 11:28:45 AM
IV
Simon Fraser University	Keithley 2410	
Temperature: 11.0	Humidity: 2.7
2 51
Voltage[V] Current[nA]
0000000.00	0000002.15
-000010.00	-000029.58
-000020.00	-000038.86
-000030.00	-000043.96
-000040.00	-000046.27
-000050.00	-000047.65
-000060.00	-000048.52
-000070.00	-000049.59
-000080.00	-000049.98
-000090.00	-000050.16
-000100.00	-000050.80
-000110.00	-000051.15
-000120.00	-000051.24
-000130.00	-000051.56
-000140.00	-000052.09
-000150.00	-000052.63
-000160.00	-000052.51
-000170.00	-000052.73
-000180.00	-000053.19
-000190.00	-000053.40
-000200.00	-000053.57
-000210.00	-000053.93
-000220.00	-000054.03
-000230.00	-000054.13
-000240.00	-000054.55
-000250.00	-000055.26
-000260.00	-000102.30
-000270.00	-000384.44
-000280.00	-000784.37
-000290.00	-001355.20
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
