W228-VPX30906_IV_3.dat
Hamamatsu MAIN ATLAS12EC W228 VPX30906
whatever
Thu, Dec 19, 2019, 3:47:30 PM
IV
Simon Fraser University	Keithley 2410	
Temperature: 9.0	Humidity: 6.1
2 51
Voltage[V] Current[nA]
0000000.00	0000002.46
-000010.00	-000030.99
-000020.00	-000041.29
-000030.00	-000046.49
-000040.00	-000049.15
-000050.00	-000050.62
-000060.00	-000051.36
-000070.00	-000051.84
-000080.00	-000052.25
-000090.00	-000052.74
-000100.00	-000052.77
-000110.00	-000053.19
-000120.00	-000053.85
-000130.00	-000054.01
-000140.00	-000054.23
-000150.00	-000054.72
-000160.00	-000054.84
-000170.00	-000055.05
-000180.00	-000055.35
-000190.00	-000055.75
-000200.00	-000056.06
-000210.00	-000056.65
-000220.00	-000061.01
-000230.00	-000132.59
-000240.00	-001364.36
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
